"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__columns__c","LLC_BI__defaultOwner__c","LLC_BI__docManager__c","LLC_BI__lookupId__c","LLC_BI__lookupKey__c","LLC_BI__sortOrder__c","LLC_BI__status__c"
"a0J3g000000cflTEAQ","0053g000000ln7zAAA","","Servicing","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:41:50.000Z","0053g000000ln7zAAA","","existing","","","","3mo0zavk5u37dasr8c","001","Open;Approved;Exception;In File;Waived"
"a0J3g000000cflVEAQ","0053g000000ln7zAAA","","Construction","2020-10-12T19:27:33.000Z","0053g000000ln7zAAA","2022-11-01T07:41:50.000Z","0053g000000ln7zAAA","","","","a0I3g000000ThxjEAC","","q67wzbt0udk9ywc2gv","",""
